Strain,Day,Value
WT,1,84.14
WT,1,82.67
WT,1,79.12
WT,1,78.24
WT,1,85.90
WT,1,83.68
WT,1,72.83
WT,1,73.41
WT,1,84.89
WT,1,88.79
WT,1,85.81
WT,1,82.79
WT,2,66.08
WT,2,71.51
WT,2,61.76
WT,2,63.97
WT,2,60.22
WT,2,58.32
WT,2,53.76
WT,2,58.35
WT,2,61.12
WT,2,62.99
WT,2,59.95
WT,2,61.29
WT,4,63.14
WT,4,72.69
WT,4,65
WT,4,67.5
WT,4,61.33
WT,4,59.59
WT,4,53.48
WT,4,59.5
WT,4,58.57
WT,4,60.61
WT,4,58.61
WT,4,59.61
WT,6,63.58
WT,6,64.02
WT,6,66.62
WT,6,67.94
WT,6,59.9
WT,6,60.54
WT,6,53.05
WT,6,50.75
WT,6,59.42
WT,6,57.72
WT,6,58.10
WT,6,57.43
WT,8,67.65
WT,8,65.44
WT,8,62.12
WT,8,61.01
WT,8,48.75
WT,8,51.04
WT,8,57.22
WT,8,55.35
WT,8,54.07
WT,8,55.92
WT,10,57.1
WT,10,57.8
WT,10,58.09
WT,10,63.97
WT,10,58.16
WT,10,58.64
WT,10,49.89
WT,10,50.9
WT,10,54.16
WT,10,53.31
WT,10,52.90
WT,10,53.23
WT,12,48.75
WT,12,47.63
WT,12,57.35
WT,12,61.91
WT,12,59.9
WT,12,60.54
WT,12,46.45
WT,12,45.59
WT,12,51.78
WT,12,52.80
WT,12,51.72
WT,12,52.06
WT,14,43.45
WT,14,41.5
WT,14,53.97
WT,14,56.47
WT,14,50.71
WT,14,46.75
WT,14,46.45
WT,14,47.6
WT,14,47.54
WT,14,50.25
WT,14,48.53
WT,14,50.55
MgrB-,1,96.92
MgrB-,1,113.69
MgrB-,1,95.52
MgrB-,1,100.56
MgrB-,1,91.91
MgrB-,1,97.4
MgrB-,1,99.85
MgrB-,1,98.8
MgrB-,1,98.95
MgrB-,1,97.33
MgrB-,1,99.44
MgrB-,1,97.75
MgrB-,1,102.93
MgrB-,1,98.77
MgrB-,2,92.03
MgrB-,2,95.38
MgrB-,2,97.4
MgrB-,2,95.73
MgrB-,2,99.55
MgrB-,2,97.45
MgrB-,2,80.97
MgrB-,2,90.36
MgrB-,2,94.18
MgrB-,2,93.62
MgrB-,2,92.35
MgrB-,2,90.08
MgrB-,4,105.85
MgrB-,4,95.38
MgrB-,4,89.37
MgrB-,4,87.83
MgrB-,4,95.88
MgrB-,4,94.05
MgrB-,4,89.04
MgrB-,4,85.29
MgrB-,4,76.92
MgrB-,4,73.85
MgrB-,4,84.24
MgrB-,4,84.99
MgrB-,4,88.76
MgrB-,4,87.44
MgrB-,6,93.23
MgrB-,6,89.85
MgrB-,6,61.82
MgrB-,6,64.34
MgrB-,6,91.15
MgrB-,6,92.37
MgrB-,6,81.68
MgrB-,6,83.33
MgrB-,6,73.36
MgrB-,6,78.87
MgrB-,6,81.99
MgrB-,6,79.74
MgrB-,6,83.29
MgrB-,6,82.72
MgrB-,8,70.62
MgrB-,8,76.92
MgrB-,8,84.89
MgrB-,8,90.69
MgrB-,8,72.07
MgrB-,8,72.07
MgrB-,8,71.58
MgrB-,8,69.96
MgrB-,8,75.42
MgrB-,8,77.86
MgrB-,8,79.32
MgrB-,8,78.38
MgrB-,10,66.89
MgrB-,10,61.25
MgrB-,10,79.69
MgrB-,10,77.71
MgrB-,10,64.56
MgrB-,10,60.06
MgrB-,10,61.86
MgrB-,10,61.54
MgrB-,10,67.73
MgrB-,10,66.79
MgrB-,10,73.09
MgrB-,10,70.44
MgrB-,12,64.26
MgrB-,12,62.82
MgrB-,12,56.57
MgrB-,12,58.45
MgrB-,12,82.29
MgrB-,12,83.21
MgrB-,12,58.26
MgrB-,12,59.46
MgrB-,12,53.44
MgrB-,12,56.03
MgrB-,12,63.98
MgrB-,12,63.41
MgrB-,12,62.70
MgrB-,12,64.02
MgrB-,14,60.33
MgrB-,14,59.54
MgrB-,14,40.67
MgrB-,14,44.98
MgrB-,14,76.95
MgrB-,14,73.59
MgrB-,14,52.25
MgrB-,14,49.55
MgrB-,14,48.58
MgrB-,14,51.82
MgrB-,14,61.35
MgrB-,14,60.41
MgrB-,14,61.38
MgrB-,14,60.25
RpoS-,1,61.35
RpoS-,1,74
RpoS-,1,57.8
RpoS-,1,55.99
RpoS-,1,63.69
RpoS-,1,69.21
RpoS-,1,70.68
RpoS-,1,66.46
RpoS-,1,65.18
RpoS-,1,67.63
RpoS-,1,62.99
RpoS-,1,69.74
RpoS-,2,62.22
RpoS-,2,60.83
RpoS-,2,56.81
RpoS-,2,54
RpoS-,2,64.76
RpoS-,2,66.03
RpoS-,2,61.18
RpoS-,2,60.55
RpoS-,2,56.47
RpoS-,2,55.13
RpoS-,2,55.12
RpoS-,2,53.77
RpoS-,4,60.66
RpoS-,4,59.27
RpoS-,4,56.98
RpoS-,4,54.34
RpoS-,4,59.45
RpoS-,4,59.45
RpoS-,4,60.76
RpoS-,4,56.54
RpoS-,4,50.67
RpoS-,4,50.45
RpoS-,4,48.37
RpoS-,4,47.69
RpoS-,6,55.81
RpoS-,6,58.93
RpoS-,6,57.31
RpoS-,6,52.35
RpoS-,6,52.02
RpoS-,6,55.84
RpoS-,6,49.58
RpoS-,6,51.69
RpoS-,6,45.76
RpoS-,6,47.32
RpoS-,6,42.52
RpoS-,6,44.54
RpoS-,8,58.41
RpoS-,8,55.46
RpoS-,8,53.84
RpoS-,8,48.72
RpoS-,8,52.23
RpoS-,8,49.26
RpoS-,8,48.95
RpoS-,8,46.84
RpoS-,8,43.97
RpoS-,8,42.86
RpoS-,8,40.94
RpoS-,8,45.44
RpoS-,10,50.61
RpoS-,10,52.51
RpoS-,10,52.52
RpoS-,10,48.39
RpoS-,10,47.35
RpoS-,10,48.2
RpoS-,10,45.99
RpoS-,10,45.36
RpoS-,10,43.3
RpoS-,10,42.41
RpoS-,10,43.64
RpoS-,10,42.07
RpoS-,12,47.31
RpoS-,12,46.79
RpoS-,12,45.91
RpoS-,12,44.43
RpoS-,12,45.22
RpoS-,12,46.5
RpoS-,12,41.77
RpoS-,12,40.72
RpoS-,12,37.28
RpoS-,12,39.06
RpoS-,12,37.57
RpoS-,12,40.27
RpoS-,14,44.54
RpoS-,14,46.45
RpoS-,14,44.1
RpoS-,14,44.59
RpoS-,14,44.59
RpoS-,14,43.95
RpoS-,14,40.08
RpoS-,14,39.45
RpoS-,14,36.38
